"Apple processa a Samsung no Japão - Notícias - TechTudo ~http  via @user",0
"É O JACKI CHAN !!! RT @user ESSE É DOS MEUS!!! HAHAHAHAHAHAH ~http  @user; assiste; recomendo!",1
"Eras o samsung galaxy tab e muito lerdo para twitar",-1
"""Dizem que a coisa mais triste que o homem enfrentará;é o que poderia ter sido...",-1
"testando novos aparelhos.. nokia 5233 e Samsung Corby(merda)!",-1
"batendo cabeça com samsung corby",-1
"loogoo mais #MOICANO; voo ficaa gatãao .  (H)**    =D",1
"#bigfollow VIP e EXPRESSO; muito barato mesmo: ~http ",1
"FALHA? No IE?? DUVIDO!!! RT: @user Microsoft confirma vulnerabilidade no navegador Internet Explorer: ~http ",-1
"""Se esta vadia falar alguma merda para mim Nossa eu rodo a baiana aqui hein""",-1
"RAIVA vou ter que ir com meu nike dinovo pra escola ; minha mãe lavou meu all star",-1
"QUE LEGAL!  Brasil ganha prêmio nas olimpíadas de tecnologia da Microsoft em ~http ",1
"Duvida cruel! Shift+Del no Infinite Stratos ou devo gastar um DVD-R com esta porcaria?",-1
"CÂMERA DIGITAL SONY DSC-WX7 16MP; VÍDEOS COM QUALIDADE HD 1080i; FOTOS EM 3D E MUITO MAIS. ~http ",0
"Esse final tem outra etapa do circuito adidas ... vamos que vamos ...",1
"Paulinhoo'Loopes o famoso Brankelo da Nike #TeAmo mto meo brankelo ;$ irmãozinho do conceito + gatoo &lt;3",1
"Parabéns!! RT: @user Alphaville SJC é nosso! Vamos fazer a campanha de incentivo. A campanha de mercado ficou com a Eugênio.",1
"A @user e @user vão sortear uma camisa Nike oficial da seleção brasileira pelo Twitter.Saiba como no link: ~http ",0
"#Cristiano Ronaldo's NIKE Speed test: ~http ",0
"É gente; agora a Sony vai acabar de ser estuprada mesmo.",-1
"Participem da Comunidade da musica do @user ( Não é Normal) &gt;~http",0
"QUE ISSO GALERAAAA; TIMINHO DE MERDA QUE NUM ACEITA PERDER; QUE ISSO o0 cade a policia pra apartar isso velho. #tomanocú",-1
"#feriadoébompara ANDAR NA PRAIA; JÁ FUIIIIIIIIIIII",1
"""Ele é casado e eu sou a outra; Na vida dele; Que vive qual uma brasa; Por lhe faltar Tudo em casa.""#mariabethânia#",-1
"Estou neste exato momento aguardando que o atendente da sony (Thiago); me passe as primeiras informações quanto ao prazo de conserto.",0
"eu ja estourava minhas contas normalmente! Eu nao quero pensar em como vai vir! medo!",-1
"""Eu quero ganhar o mouse sem fio da Microsoft que o @user está sorteando - ~http  #PromoSD""",1
"Acabei de lembrar da festa linda do @user a base de valesca.  Final dos tempos . kkkk",1
"AGORA EU ACHO QUE O RONALDINHO VAI JOGAR A BOLA É DA NIKE !!!",1
"O bing é um ""buscador""?? A única coisa que ele acha é o Google!!!",-1
"""Amar não  e pecado!!# LUAN SANTANA SUCESSO",1
"Alguem ai sabe editar video ??????????????????????",0
"#EIAOVIVO O QUE VALE MAIS; COPA AUDI OU COPA DA HORA?",0
"MTO FELIZ ♥ era o depo q eu mais queria ver *-*",1
"Nossa dormi em um dia de chuva como o de hoje não tem preço ;x",1
"Eu sigo @user e quero ganhar uma Câmera Digital Samsung 14.2 na promoção: ~http",0
"Photo: › Você já se pegou tentando lembrar de cada palavrinha dita naquela situação; apenas para poder... ~http ",0
"aeeee o celular novo chegouuuu... Samsung galaxy sII empolgadasso!",1
"Acordei de mau humor. Vou malhar pra melhorar. Até mais tarde; twitter.",-1
"nuss que raiva não to conseguindo salvar os meus videos comentados aqui no Sony Vegas Pro 10 :S",-1
"cara;e cada gala seca; que velho não tem como não ficar puta! pqp transtornada de odio  me tremendo nem conseguindo escrever direito",-1
"Eu queroooooooooooooo. *-* RT:. @user  O Boné Nike do Centenário ficou irado! ~http ",1
"*Estou de aviso prévio novamente! (Não é notícia de 1º de abril!) =/",-1
"segunda vez que empurram a barreira do inter na falta...",-1
"Capa em silicone gel S-Type curve TPU Premium para Smartphone Samsung Galaxy SII. Apenas R$ 39;90. Frete Grátis... ~http ",0
"O melhor cheiro; é o cheiro que fica na sua roupa depois de você ter abraçado alguém que você gosta muito.",1
"Quero um nintendo #Wii p jogar Just Dance! Me dá?",1
"Sem luz; sem ar nesse calorrrrr ninguem merece",-1
"#Logomarca com nome novo ; criada e enviada! um trabalho a menos! rs",1
"Show do Seu Jorge logo mais...",0
"Lançamentos Sony para seu iPhone 3GS - ~http",0
"eu APAIXONEI com a camisa do fael de ontem!!! Tinha as cores da bandeira da Jamaica e etc hahahaahahha",1
"AH! Minha fessora de pilates disse que eu melhoei sessenta por cento desde a primeira aula...detalhe que essa foi a terceira! =D",1
"boooa tarde!",1
"uhu; que loooooco. sony vaio e um note da hora .. computador aqui nao falta kkk",1
"“Eu quero conquistar a minha independência digital com o Samsung Star que o @user está sorteando ~http ",0
"Depois do ataque que sofreu; Sony diz que terá seguro contro roubo de informações. Vem aí uma taxa de uso da PSNetwork? #FicaaDica #wtf",-1
"aaaaaaah O Luan tem qe levar pelo menos um premio... :'(",-1
"Vcs reclamam da Demi pq ela fez uma tatoo junto com as amgs.  Tem gnt que não rabisca nem o nome do ''bff'' no braço com canetinha vagabunda",-1
"Vende-se - Nintendo Wii edição especial 25 anos; 2 controles; 2 nunchuks; destravado com HD externa e 125 jogos. algum intressado?",0
"3 minutos para a apresentação da NINTENDO na E3 2011!!!!!!!!!!",1
"PELOOOOOOOOOOO DE DEUS ALGUÉM SABE COMO DESBLOQUEAR #MSN ? ://///////////////// TA TENSO AQUI EM",-1
"A microsoft se supera... Wins 7 é melhor que o Vista mas PIOR QUE O XP??? #QuemExplica ?",-1
"Eu quero ganhar o Nintendo Wii que o @user vai sortear dia 27/10 (20:00 hrs); RT e follow @user ~http ",1
"Torneio Pokémon para Nintendo DS em Brasília! Gyms Fighting e Steel de Johto - 31/07 no Pátio Brasil. Mais informações: ~http ",0
"Hoje a noite as 21:00 o Speed irá transmitir a 2 etapa do Audi DTCC que foi realizada no @user. Assistam!!!",0
"diazinhoo chato !",-1
"só de pensar qe amanhã tem escola me dá um desânimo D:",-1
"É muito bom ir dormir sabendo que amanhã nao precisarei acordar cedo pra ir pra porra daquela escola",1
